iter	Passed	Remaining
0	147	147226
1	148	74216
2	150	49885
3	151	37699
4	152	30357
5	155	25741
6	156	22182
7	157	19506
8	158	17427
9	159	15764
10	160	14406
11	161	13272
12	162	12319
13	163	11497
14	164	10784
15	165	10162
16	166	9610
17	168	9187
18	169	8763
19	170	8362
20	171	7995
21	172	7662
22	173	7360
23	174	7081
24	175	6828
25	176	6593
26	176	6373
27	177	6169
28	178	5979
29	179	5802
30	180	5638
31	181	5485
32	183	5381
33	184	5243
34	185	5115
35	186	4991
36	187	4874
37	188	4764
38	189	4659
39	190	4560
40	190	4464
41	191	4373
42	192	4286
43	193	4203
44	194	4123
45	195	4047
46	197	3999
47	198	3935
48	199	3869
49	200	3805
50	201	3743
51	202	3685
52	203	3628
53	203	3573
54	204	3522
55	206	3472
56	206	3423
57	207	3375
58	208	3331
59	209	3287
60	212	3271
61	213	3232
62	214	3192
63	215	3152
64	216	3118
65	217	3084
66	218	3048
67	219	3014
68	220	2979
69	221	2946
70	222	2914
71	223	2882
72	224	2852
73	227	2841
74	228	2815
75	229	2786
76	230	2758
77	231	2730
78	231	2703
79	232	2676
80	233	2650
81	234	2624
82	234	2595
83	235	2571
84	236	2547
85	237	2524
86	238	2502
87	239	2480
88	242	2477
89	243	2457
90	244	2438
91	244	2417
92	245	2398
93	246	2379
94	247	2361
95	248	2342
96	249	2324
97	250	2307
98	251	2289
99	252	2272
100	253	2256
101	254	2240
102	257	2240
103	258	2225
104	259	2209
105	260	2193
106	261	2179
107	262	2164
108	262	2149
109	263	2135
110	264	2121
111	265	2108
112	266	2094
113	267	2081
114	268	2068
115	269	2055
116	271	2046
117	272	2036
118	273	2024
119	274	2011
120	275	2000
121	276	1986
122	276	1974
123	277	1963
124	278	1952
125	279	1941
126	280	1929
127	281	1918
128	282	1908
129	283	1897
130	284	1886
131	287	1888
132	288	1878
133	289	1869
134	290	1859
135	291	1849
136	292	1839
137	292	1829
138	293	1820
139	294	1810
140	295	1802
141	296	1791
142	297	1782
143	298	1773
144	299	1764
145	300	1756
146	302	1754
147	303	1748
148	304	1741
149	306	1736
150	307	1728
151	308	1722
152	309	1714
153	310	1706
154	311	1699
155	312	1691
156	313	1683
157	314	1676
158	317	1679
159	318	1672
160	319	1662
161	320	1655
162	320	1648
163	321	1641
164	322	1634
165	323	1627
166	324	1620
167	325	1613
168	326	1606
169	327	1600
170	328	1594
171	330	1592
172	332	1587
173	332	1580
174	333	1574
175	334	1568
176	335	1561
177	336	1555
178	337	1549
179	338	1542
180	339	1536
181	340	1530
182	341	1524
183	342	1518
184	343	1512
185	344	1506
186	346	1508
187	348	1503
188	349	1497
189	350	1492
190	350	1486
191	351	1481
192	353	1476
193	354	1470
194	354	1465
195	355	1459
196	356	1454
197	357	1448
198	358	1442
199	359	1437
200	361	1438
201	362	1432
202	363	1428
203	364	1423
204	365	1417
205	366	1412
206	367	1407
207	368	1402
208	369	1396
209	369	1391
210	370	1386
211	371	1381
212	372	1376
213	373	1371
214	374	1366
215	376	1366
216	377	1361
217	378	1357
218	379	1352
219	380	1347
220	380	1342
221	381	1337
222	382	1333
223	383	1328
224	384	1323
225	385	1319
226	385	1314
227	386	1309
228	387	1305
229	388	1301
230	389	1296
231	392	1297
232	393	1294
233	394	1290
234	395	1286
235	396	1283
236	397	1279
237	398	1274
238	398	1270
239	399	1266
240	400	1261
241	401	1257
242	402	1253
243	403	1249
244	405	1249
245	406	1246
246	407	1242
247	408	1238
248	409	1234
249	410	1230
250	411	1226
251	411	1222
252	412	1218
253	413	1214
254	414	1210
255	415	1206
256	416	1203
257	417	1199
258	418	1196
259	419	1195
260	421	1192
261	422	1188
262	422	1185
263	423	1181
264	424	1177
265	425	1173
266	426	1170
267	427	1166
268	428	1163
269	429	1160
270	430	1156
271	431	1153
272	432	1150
273	432	1147
274	434	1146
275	436	1144
276	437	1141
277	438	1137
278	439	1134
279	439	1131
280	440	1128
281	441	1124
282	442	1121
283	443	1118
284	444	1115
285	445	1111
286	446	1108
287	447	1105
288	448	1102
289	450	1103
290	451	1100
291	452	1097
292	453	1094
293	454	1091
294	455	1088
295	456	1085
296	457	1082
297	458	1079
298	459	1076
299	460	1073
300	461	1070
301	462	1067
302	462	1065
303	463	1062
304	465	1060
305	466	1057
306	467	1054
307	468	1052
308	469	1049
309	470	1047
310	471	1044
311	472	1041
312	473	1038
313	474	1035
314	475	1033
315	476	1030
316	477	1027
317	479	1029
318	481	1027
319	482	1025
320	483	1023
321	485	1022
322	486	1020
323	487	1017
324	488	1014
325	489	1012
326	490	1009
327	491	1006
328	492	1004
329	495	1005
330	496	1002
331	497	1000
332	498	997
333	498	994
334	499	992
335	500	989
336	501	987
337	502	984
338	503	982
339	504	979
340	505	976
341	506	974
342	507	971
343	509	971
344	510	969
345	511	966
346	512	964
347	513	962
348	514	959
349	515	957
350	516	954
351	517	952
352	518	950
353	519	948
354	521	946
355	522	944
356	524	945
357	526	943
358	527	941
359	527	938
360	528	936
361	529	933
362	530	931
363	531	929
364	532	926
365	533	924
366	534	922
367	535	919
368	536	917
369	537	915
370	540	915
371	541	913
372	542	911
373	543	908
374	543	906
375	544	903
376	545	901
377	546	899
378	547	896
379	548	894
380	549	891
381	549	889
382	550	887
383	551	884
384	552	882
385	554	881
386	555	879
387	556	877
388	557	875
389	558	872
390	558	870
391	559	868
392	560	866
393	561	863
394	562	861
395	563	859
396	564	857
397	565	854
398	566	852
399	567	850
400	567	848
401	569	847
402	571	846
403	572	844
404	573	841
405	574	840
406	575	838
407	576	835
408	576	833
409	577	831
410	578	829
411	579	827
412	580	824
413	581	822
414	582	820
415	584	819
416	585	818
417	586	816
418	587	814
419	587	811
420	588	809
421	589	807
422	590	805
423	591	803
424	592	801
425	593	799
426	593	796
427	594	794
428	595	792
429	596	790
430	597	788
431	599	788
432	600	786
433	601	784
434	602	782
435	603	780
436	604	778
437	605	776
438	605	774
439	606	772
440	607	770
441	608	768
442	609	766
443	610	764
444	611	762
445	611	760
446	612	758
447	614	757
448	615	755
449	616	753
450	617	751
451	618	749
452	619	748
453	620	746
454	621	744
455	622	742
456	623	740
457	624	738
458	625	737
459	626	735
460	627	733
461	630	733
462	631	731
463	632	730
464	633	728
465	634	726
466	634	724
467	635	722
468	636	721
469	637	719
470	638	717
471	640	716
472	641	714
473	641	712
474	643	711
475	645	710
476	646	708
477	647	706
478	647	704
479	648	703
480	649	701
481	650	699
482	651	697
483	652	695
484	653	694
485	654	692
486	655	690
487	656	688
488	657	687
489	659	686
490	661	685
491	662	683
492	663	682
493	665	681
494	666	679
495	667	678
496	668	676
497	669	674
498	670	672
499	671	671
500	672	669
501	675	669
502	676	668
503	677	666
504	678	664
505	678	662
506	679	661
507	680	659
508	681	657
509	682	655
510	683	654
511	684	652
512	685	650
513	686	649
514	687	647
515	690	647
516	691	645
517	692	644
518	693	642
519	694	640
520	695	639
521	696	637
522	697	635
523	697	634
524	698	632
525	699	630
526	700	629
527	701	627
528	702	625
529	705	625
530	706	624
531	707	622
532	708	620
533	709	619
534	710	617
535	711	615
536	712	614
537	713	612
538	713	610
539	714	608
540	715	607
541	716	605
542	717	604
543	719	603
544	721	601
545	722	600
546	723	598
547	724	597
548	725	595
549	726	594
550	727	592
551	728	590
552	729	589
553	730	587
554	731	586
555	732	584
556	734	584
557	735	582
558	736	580
559	737	579
560	738	577
561	739	575
562	739	574
563	740	572
564	741	571
565	742	569
566	743	567
567	744	566
568	745	564
569	746	562
570	747	561
571	749	560
572	750	559
573	751	557
574	753	556
575	754	555
576	755	553
577	756	552
578	757	550
579	758	549
580	759	547
581	760	546
582	761	544
583	761	542
584	764	542
585	765	540
586	766	539
587	767	537
588	767	535
589	768	534
590	769	532
591	770	531
592	771	529
593	772	527
594	773	526
595	774	524
596	774	523
597	775	521
598	776	519
599	777	518
600	779	517
601	780	515
602	781	514
603	782	512
604	782	511
605	783	509
606	784	508
607	785	506
608	786	505
609	787	503
610	788	501
611	789	500
612	790	498
613	791	497
614	791	495
615	793	494
616	795	493
617	796	492
618	796	490
619	797	488
620	798	487
621	799	485
622	800	484
623	801	482
624	802	481
625	803	479
626	803	478
627	804	476
628	805	475
629	806	473
630	807	472
631	809	471
632	810	470
633	811	468
634	812	467
635	813	465
636	815	464
637	816	463
638	818	462
639	820	461
640	821	459
641	822	458
642	824	457
643	825	456
644	826	454
645	827	453
646	828	452
647	829	450
648	830	449
649	831	447
650	832	446
651	833	444
652	834	443
653	835	441
654	836	440
655	837	439
656	840	438
657	841	437
658	842	436
659	845	435
660	846	434
661	847	432
662	848	431
663	849	429
664	850	428
665	851	427
666	852	425
667	855	425
668	857	424
669	858	422
670	859	421
671	860	419
672	861	418
673	862	417
674	863	415
675	864	414
676	865	412
677	866	411
678	867	409
679	868	408
680	870	407
681	871	406
682	872	404
683	873	403
684	874	402
685	875	400
686	876	399
687	876	397
688	877	396
689	878	394
690	879	393
691	880	391
692	881	390
693	882	389
694	883	387
695	885	386
696	886	385
697	887	383
698	888	382
699	889	381
700	889	379
701	890	378
702	891	376
703	892	375
704	893	373
705	894	372
706	895	371
707	896	369
708	897	368
709	899	367
710	900	366
711	901	364
712	902	363
713	903	361
714	904	360
715	905	359
716	906	357
717	907	356
718	908	354
719	908	353
720	909	352
721	910	350
722	911	349
723	912	348
724	914	346
725	915	345
726	916	344
727	917	342
728	918	341
729	919	339
730	920	338
731	920	337
732	921	335
733	922	334
734	923	332
735	924	331
736	925	330
737	926	328
738	928	327
739	929	326
740	930	325
741	931	324
742	932	322
743	934	321
744	935	320
745	936	318
746	937	317
747	938	316
748	939	314
749	940	313
750	941	312
751	942	310
752	944	309
753	945	308
754	946	307
755	947	305
756	948	304
757	948	302
758	949	301
759	950	300
760	951	298
761	952	297
762	953	296
763	954	294
764	956	293
765	959	293
766	960	291
767	962	290
768	963	289
769	964	287
770	964	286
771	965	285
772	966	283
773	967	282
774	968	281
775	969	279
776	970	278
777	971	277
778	971	275
779	973	274
780	974	273
781	975	272
782	976	270
783	977	269
784	978	267
785	979	266
786	980	265
787	981	263
788	982	262
789	983	261
790	984	260
791	985	258
792	986	257
793	989	256
794	991	255
795	993	254
796	994	253
797	995	252
798	997	251
799	999	249
800	1001	248
801	1004	248
802	1006	246
803	1007	245
804	1009	244
805	1010	243
806	1011	242
807	1014	241
808	1015	239
809	1020	239
810	1022	238
811	1031	238
812	1032	237
813	1044	238
814	1045	237
815	1046	235
816	1047	234
817	1048	233
818	1049	231
819	1052	231
820	1053	229
821	1055	228
822	1056	227
823	1057	225
824	1058	224
825	1059	223
826	1060	221
827	1061	220
828	1062	219
829	1063	217
830	1064	216
831	1066	215
832	1067	214
833	1068	212
834	1069	211
835	1070	210
836	1071	208
837	1072	207
838	1073	206
839	1074	204
840	1075	203
841	1076	201
842	1077	200
843	1078	199
844	1079	197
845	1082	197
846	1083	195
